"d(N,RE)","d(N,LE)","d(N,RM)","d(N,LM)","d(N,F)"
38.19649369,60.0774771,28.76984368,51.52124224,84.75080073
34.8186849,55.85493925,33.40654517,54.42904489,78.47685265
36.67171855,57.92607594,29.80605803,53.50471914,88.63384551
38.54512033,55.31363211,30.1979471,57.29172574,85.67523379
42.94276566,56.36152924,26.97186699,44.43423122,88.94230223
37.36456725,54.93175556,27.97226746,49.44337489,91.16777756
36.12354487,45.79232233,33.70602974,43.78881501,91.88153161
41.61061113,51.62336649,33.70669454,41.87779347,90.84178488
41.63511205,49.35122269,31.3976194,44.85879425,90.97822409
43.53861597,51.46509289,35.09610228,45.16530993,88.47844252
45.68740732,48.33938048,38.73854599,44.99515599,92.99075111
38.17555651,42.33317665,42.48549895,42.58393873,91.12010454
41.00604685,50.68524314,35.04855783,42.98578172,89.13611725
38.78016301,45.80416698,40.2916095,46.75636095,86.45259971
42.37137526,45.66672639,38.13942013,44.33136282,96.21083274
40.380301,44.15253401,42.48549895,42.58393873,90.5524843
37.90593369,40.98245311,35.61891287,42.8929527,93.94481841
42.13004917,43.75963631,36.61242466,40.00776569,89.78814544
41.23669024,40.71702029,38.78001395,40.27854022,93.33943432
44.84409389,43.64767104,39.27045696,40.987185,93.98499769
39.5116935,46.15067828,38.30847931,44.45403912,90.12404522
41.51600179,43.4552249,37.94470904,42.63515009,89.80019547
44.87033914,40.29555241,38.24969973,39.42293308,95.08867284
41.62407417,46.09338701,34.72573827,35.6586907,93.91079983
47.55400562,41.51993342,40.53246478,40.11239407,94.27107911
42.05835045,43.60286491,39.53242065,36.73609375,91.70444592
44.02269285,38.91491642,41.44947222,38.05195039,95.36957013
44.00159724,35.43098831,38.75637853,35.72540822,93.35945663
37.31016349,39.82077515,42.72992852,43.45707314,87.01476513
35.01305231,39.58845434,39.96554717,44.26305388,83.62928739
37.60915038,40.52250807,38.19422817,41.62969002,85.90150716
36.74920923,38.29057776,40.87393482,40.58525576,89.66522161
48.4198354,31.68680049,47.50873861,44.38667298,101.5351691
51.45199462,31.24001413,45.12351347,37.43612727,107.9219284
47.6331205,31.17994548,41.58569777,36.42045452,106.5001099
46.22087607,34.83220233,40.92863823,39.22459147,103.2883817
49.71521723,31.64581567,46.7157163,39.34695915,109.8990232
49.30205901,32.20854462,47.36461353,38.79306811,107.9948056
49.05231933,33.90108639,44.4682916,37.7997432,107.7003965
48.37814852,32.65900444,41.27847049,37.75432563,107.5117715
50.12424407,34.86878196,42.06593231,37.07386379,111.6496022
45.69911633,32.80388312,44.4682916,35.96984557,105.6276601
47.16948166,35.27775503,45.04442252,39.78341363,105.3239289
47.69111677,33.39805686,42.99818896,41.77167496,107.6576489
42.38864729,30.21281342,47.53324302,40.15570778,104.5999206
47.15188405,33.16280962,42.55967961,37.91598235,105.4177101
48.79034187,33.21195715,43.70008516,36.68944814,107.6926388
49.25039315,30.99219977,42.60017066,36.12335214,108.3930662
47.065932,33.76583015,45.75019872,36.8659697,107.1525927
49.52309309,32.51175627,43.02951403,38.36731457,108.9252501
47.97411244,31.5623073,41.93508312,38.0128657,108.0422641
45.07202978,29.26154979,43.14039944,37.67665282,110.0059868
49.06858072,31.95540724,44.06412913,37.76273755,111.6631092
47.5786762,31.38964591,42.30349817,35.65926196,108.8053728
45.96231566,32.64244564,41.63386036,35.14808122,106.8105955
49.53510373,32.74371881,41.81240872,35.16610697,111.215979
48.18588889,30.11419458,44.28943555,38.10121579,111.3649369
47.09699177,35.50667655,37.2114367,33.23875789,109.398715
47.87439735,31.29176592,40.96935344,36.40364669,105.9043243
40.85230842,31.81804393,40.2987157,41.3555615,105.6497492
45.47804554,37.80889853,43.68188367,35.20787357,103.8524967
45.05937856,40.04569322,40.5863879,37.27846453,98.83047675
38.00845111,39.37842103,39.05047418,41.48063754,91.18777193
41.90904585,44.59983443,36.04976918,37.04625979,84.8755976
31.99459924,44.14592915,35.56055894,41.55337351,77.77724395
30.38125,55.95013848,32.13373702,46.18715966,79.49406596
31.12831806,46.53973923,31.80507182,49.39418066,81.67235114
37.98800244,46.49729546,35.15501847,41.02580449,89.51205563
41.30650579,45.04325428,35.18699644,39.13521266,88.63280943
43.77747387,44.20082881,41.04248038,40.36973537,88.96003057
39.52133114,46.18162904,36.4041305,40.19347739,94.32105035
41.91794166,40.14771668,40.56626795,38.00932707,97.44431454
43.98187244,41.4006124,37.95305845,37.16795216,95.28655694
